,user,status,likes,rt
83,VinPepp,"#pmqs Government to extend free school meal, i guess that they couldn't take another kicking from Marcus Rashford and the obligatory U turn",0,0
84,adamlole123,"@RequestABet Man Utd -1, Rashford to score, Fernandes 1+ SOT, 8+ match corners, 30+ match BP",0,0
85,413x94rp,"@oleatthewheel @miraclekeyz2 @thula_ispani @UnitedStandMUFC I have watched literally every man u game since before you were wanking into a sock.

Giggs was a winger. Rashford is not. You clearly don't know anything about the game at all. Probably never played (or at least not to a decent level).",0,0
86,FootballExpres7,"@aghahowadaniel_ @OfficialFPL Rashford is quite susceptible to be benched considering his playing time in the FA Cup and while Maguire is a consistent starter, at his price point, its a massive differential pick tho!",0,0
87,mochibarie,"@JoeAfc7 So many talents man:
Foden, Greenwood, CHO, Saka, James, TAA, AWB, Mount, Rashford, Sancho, DCL, Rice, so many other talents. We could genuinely go and win the World Cup, and I’m not even joking.",0,0
88,aminvilla94,"@UnitezDesigns Pope

Cash
Konsa
Mings
Targett

Hendo
Mount

Sterling
Grealish
Rashford

Kane",2,0
89,ChrisEddy_7,"Dave, AWB, Bailly, Maguire, Shaw, Matic, Pogba, Bruno, Rashford, Martial, Greenwood. 

If Rashford is fit to start he has to play left hand side, give Cavani, DVB, Mata half hour at the end of all goes to plan",0,0
90,utdagah,"@Rhys_CFC I said Rashford cos he plays for the same club as martial and has more goals, you just want to compare Werner to out of form players to make him look good",0,0
91,OyeleyeJr,OGS don't even think about playing Rashford on RW please,0,0
92,HonestSportTake,@ESPNFC Clear of Rashford,0,0
93,Donnyutdv2,"@utdreport Bruno
Rashford 
Shaw
Pogba
De gea 
Fred",0,0
94,HonestSportTake,@SpursOfficial Son clear of Rashford,0,0
95,OnogeOvie,@TheMangolorian_ @UTDBernardo @ManUtd @ighalojude How many goals has rashford scored in what is 5 years I am waiting for your reply,0,0
96,JakeTwist_,@Martinelli7i Rashford is fit for tonight 🤣,1,0
97,jlrmufc,"@UnitedStandMUFC DDG

Tuanzebe
Bailly
Maguire
Telles

Matic
Donny

Rashford
Bruno
Pogba

Martial",0,0
98,UtdSwagger,"My front three tonight;

Rashford  Martial  Greenwood;

I'd start Martial tonight whilst giving Cavani a little bit of rest. 

Need Toto back in beast mode and Sheffield United are the perfect opponent for him to discover his goalscoring touch.",0,0
99,_Pomasi,@Martinelli7i I’m telling the streets. Rashford will abuse Cedric,2,0
